"AREA","ESPEC_NUM","ESPEC_FULL","COMP_ESPE_SHORT","","","CRIT_SHORT"
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","1-2PRI","Registrar canvis importants que s’han produït en l’àmbit personal, familiar, a l’escola o al barri que han influït en la construcció de la pròpia identitat.","Registrar canvis importants que s’han produït en l’àmbit personal, familiar."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","3-4PRI","Descriure les principals transformacions històriques en diferents èpoques i societats, relacionant-les amb els canvis i continuïtats en l’entorn, i comprenent les connexions entre passat, present i futur i la seva influència en la construcció de la pròpia identitat.","Descriure les principals transformacions històriques en diferents èpoques i societats, relacionant-les amb els canvis i continuïtats en l’entorn."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","5-6PRI","Explicar les relacions de causalitat entre moments històrics rellevants en la nostra societat i en altres i els canvis i continuïtats en l’entorn, identificant els fets i les accions humanes que han influït en la construcció de la pròpia identitat.","Explicar les relacions de causalitat entre moments històrics rellevants en la nostra societat i en altres i els canvis i continuïtats en l’entorn."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","1-2PRI","Identificar la diversitat cultural present a l’aula i al centre educatiu, reconeixent i respectant les diferents expressions culturals.","Identificar la diversitat cultural present a l’aula i al centre educatiu, reconeixent i respectant les diferents expressions culturals."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","3-4PRI","Contrastar les característiques de la pròpia societat, configurada per persones de diversos orígens, llengües, costums, amb altres societats, mostrant una actitud respectuosa i inclusiva.","Contrastar les característiques de la pròpia societat, configurada per persones de diversos orígens."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","5-6PRI","Mostrar una actitud respectuosa i inclusiva cap a la diversitat cultural, comprenent i valorant positivament els elements que configuren la pròpia identitat i la dels altres.","Mostrar una actitud respectuosa i inclusiva cap a la diversitat cultural, comprenent i valorant positivament els elements que configuren la pròpia identitat i la dels altres."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","1-2PRI","Identificar les necessitats, desitjos, sentiments i valors propis i de les altres persones, així com algunes de les habilitats socials necessàries per a la convivència a l’aula.","Identificar les necessitats, desitjos."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","3-4PRI","Aplicar algunes habilitats socials que contribueixen a la convivència a l’aula i al centre, a partir de l’autoestima, el respecte i la confiança en un mateix i en les altres persones.","Aplicar algunes habilitats socials que contribueixen a la convivència a l’aula i al centre, a partir de l’autoestima."
"Ciutadana","1","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva, dialogant i inclusiva en qualsevol context.","Identificar els fets històrics i socials més rellevants relatius a la seva pròpia identitat i cultura, reflexionar sobre les normes de convivència i aplicar-les de manera constructiva.","5-6PRI","Aplicar les habilitats socials que contribueixen a establir relacions de convivència a l’aula, al centre i a l’entorn proper.","Aplicar les habilitats socials que contribueixen a establir relacions de convivència a l’aula, al centre i a l’entorn proper."
"Ciutadana","2","Participar en activitats comunitàries, en la presa de decisions i la resolució dels conflictes de forma dialogada i respectuosa amb els procediments democràtics en el marc de la Unió Europea, de l’ordenament jurídic de l’Estat espanyol i Catalunya, dels drets humans i de l’infant, i del valor de la diversitat i l’assoliment de la igualtat de gènere, la cohesió social i els objectius de desenvolupament sostenible.","Participar en activitats comunitàries, en la presa de decisions i la resolució dels conflictes de forma dialogada i respectuosa amb els procediments democràtics en el marc de la Unió Europea.","1-2PRI","Participar en la presa de decisions col·lectives, tenint en compte les aportacions d’altres membres del grup.","Participar en la presa de decisions col·lectives, tenint en compte les aportacions d’altres membres del grup."
