"SABER_FULL","SABER_SHORT","","PI · Helena Nito del Bosque","","","","","","","","","","","","","","","","","","","","","",""
"Actualització del sistema operatiu i les aplicacions.","Actualització del sistema operatiu i les aplicacions.","","","","","","","","","","","","","","","","","","","","","","","",""
"Adopció d'estratègies d'autoregulació en l'ús dels dispositius digitals.","Adopció d'estratègies d'autoregulació en l'ús dels dispositius digitals.","","","","","","","","","","","","","","","","","","","","","","","",""
"Adopció d'estratègies eficients en la protecció del medi ambient.","Adopció d'estratègies eficients en la protecció del medi ambient.","","","","","","","","","","","","","","","","","","","","","","","",""
"Adopció d'estratègies per la gestió del temps i l'autoregulació en l'ús de les tecnologies digitals.","Adopció d'estratègies per la gestió del temps i l'autoregulació en l'ús de les tecnologies digitals.","","","","","","","","","","","","","","","","","","","","","","","",""
"Adopció de normes de comportament en els entorns digitals (netiqueta)","Adopció de normes de comportament en els entorns digitals.","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicacions que permeten organitzar i categoritzar enllaços web.","Aplicacions que permeten organitzar i categoritzar enllaços web.","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació d'estratègies d'autoregulació en l'ús dels dispositius digitals (temps d'ús, moments de desconnexió...).","Aplicació d'estratègies d'autoregulació en l'ús dels dispositius digitals .","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de criteris d'adequació per la selecció d'eines col·laboratives de producció digital (processador de textos, aplicacions de presentacions, blogs, aplicacions de creació web...) en funció de la tasca a realitzar.","Aplicació de criteris d'adequació per la selecció d'eines col·laboratives de producció digital en funció de la.","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de criteris d'adequació per la selecció d'eines col·laboratives de producció digital en funció de la tasca a realitzar.","Aplicació de criteris d'adequació per la selecció d'eines col·laboratives de producció digital en funció de la.","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de criteris d'adequació per la selecció dels canals de comunicació en digital (correu electrònic, entorn virtual d'aprenentatge, fòrums, murs virtuals, xats, web, blogs...) en funció de la tasca a realitzar.","Aplicació de criteris d'adequació per la selecció dels canals de comunicació en digital en funció de.","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de criteris de benestar digital en l'expressió de la identitat digital, la personalitat i el coneixement en entorns digitals.","Aplicació de criteris de benestar digital en l'expressió de la identitat digital, la personalitat i el.","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de criteris de desenvolupament social, d'impacte mediambiental i d'obsolescència programada, en la valoració crítica de la tecnologia.","Aplicació de criteris de desenvolupament social.","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de criteris de publicació de produccions digitals en xarxes restringides (visibilitat de la publicació, autoria de la creació, propietat intel·lectual, repercussió de la publicació...).","Aplicació de criteris de publicació de produccions digitals en xarxes restringides .","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de funcions de format avançades (canvi de mida del document, capçalera i peu, esquema, títols i sagnats).","Aplicació de funcions de format avançades .","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de funcions de format avançades (columnes, interlineat, tabulacions, seccions de document...).","Aplicació de funcions de format avançades .","","","","","","","","","","","","","","","","","","","","","","","",""
"Aplicació de les normes de comportament cívic en interaccions aprofitant les característiques tècniques dels entorns digitals de comunicació.","Aplicació de les normes de comportament cívic en interaccions aprofitant les característiques tècniques dels entorns digitals.","","","","","","","","","","","","","","","","","","","","","","","",""
